BIOL111,"Biodiversity in Central Texas"
BIOL140,"Basic Biology"
BIOL140L,"Basic Biology Lab"
BIOL131,"Issues in Biology"
BIOL143,"Biological Systems I"
BIOL143L,"Biological Systems I Lab"
BIOL144,"Biological Systems II"
BIOL144L,"Biological Systems II Lab"
BIOL233,"Pathophysiology"
BIOL235,"Principles of Nutrition"
BIOL242,"Microbiology"
BIOL242L,"Microbiology Lab"
BIOL245,"Human Anatomy and Physiology I"
BIOL245L,"Human Anatomy and Physiology I Lab"
BIOL246,"Human Anatomy and Physiology II"
BIOL246L,"Human Anatomy and Physiology II Lab"
BIOL340,"Plant Biology"
BIOL340L,"Plant Biology Lab"
BIOL341,"Genetics"
BIOL341L,"Genetics Lab"
BIOL343,"Comparative Anatomy and Embryology of the Vertebrates"
BIOL343L,"Comparative Anatomy and Embryology of the Vertebrates Lab"
BIOL346,"Aquatic Biology"
BIOL346L,"Aquatic Biology Lab"
BIOL347,"General Ecology"
BIOL347L,"General Ecology Lab"
BIOL411,"Senior Capstone Seminar"
BIOL414,"Biochemistry Lab"
BIOL422,"Senior Capstone Research"
BIOL431,"General Physiology"
BIOL432,"Fundamentals of Neuroscience"
BIOL434,"Biochemical Principles"
BIOL436,"Developmental Biology"
BIOL437,"Metabolic Biochemistry"
BIOL438,"Immunology"
BIOL444,"Molecular Biology"
BIOL444L,"Molecular Biology Lab"
BIOL471,"Cell Biology"
BIOL473,"Evolutionary Biology"
ENVS130,"Environmental Science"
PHIL371,"Bioethics"

CHEM122,"Introduction to Research Methods"
CHEM143,"General Chemistry I"
CHEM143L,"General Chemistry I Lab"
CHEM144,"General Chemistry II"
CHEM144L,"General Chemistry II Lab"
CHEM147,"Principles of Chemistry"
CHEM147L,"Principles of Chemistry Lab"
CHEM248,"Organic Chemistry I"
CHEM248L,"Organic Chemistry I Lab"
CHEM249,"Organic Chemistry II"
CHEM249L,"Organic Chemistry II Lab"
CHEM332,"Intermediate Inorganic Chemistry"
CHEM341,"Analytical Chemistry"
CHEM341L,"Analytical Chemistry Lab"
